Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Product group,Support Level,Country,Type
In progress,1031,Low,Email,Feature request,1st line support,Kristos Westoll,04-01-2023 18:08,06-01-2023 18:08,04-01-2023 19:08,13:04.1,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,United Kingdom,Change
Resolved,1032,Low,Email,Product setup,2nd line support,Heather Urry,04-01-2023 12:47,06-01-2023 12:47,04-01-2023 13:47,20:44.1,Within SLA,54:03.4,Within SLA,,Other,Tier 2,Germany,Request
In progress,1034,Low,Chat,Other,1st line support,Connor Danielovitch,04-01-2023 19:06,05-01-2023 19:06,04-01-2023 19:08,07:35.3,Within SLA,,SLA Violated,,Training and Consulting Services,Tier 1,Germany,Request
In progress,1035,High,Email,Training request,1st line support,Connor Danielovitch,04-01-2023 05:27,06-01-2023 05:27,04-01-2023 06:27,07:00.2,Within SLA,,SLA Violated,,Training and Consulting Services,Tier 1,Germany,Request
Resolved,1037,Low,Email,Product setup,1st line support,Sheela Cutten,05-01-2023 12:10,07-01-2023 12:10,05-01-2023 13:10,34:20.3,Within SLA,23:15.1,Within SLA,,Custom software development,Tier 1,Poland,Request
Closed,1038,High,Chat,Other,1st line support,Bernard Beckley,05-01-2023 04:18,06-01-2023 04:18,05-01-2023 04:20,19:42.0,Within SLA,22:17.2,Within SLA,08:53.6,Other,Tier 1,Italy,Request
Resolved,1039,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,05-01-2023 05:16,06-01-2023 05:16,05-01-2023 05:18,18:00.5,Within SLA,37:10.8,Within SLA,,Custom software development,Tier 2,Poland,Request
In progress,1040,High,Chat,Bug report,2nd line support,Heather Urry,05-01-2023 14:30,06-01-2023 14:30,05-01-2023 14:32,31:02.4,Within SLA,,SLA Violated,,Ready to use Software,Tier 2,Poland,Incident
Closed,1041,Low,Chat,Product setup,1st line support,Bernard Beckley,05-01-2023 02:59,06-01-2023 02:59,05-01-2023 03:01,04:27.5,SLA Violated,50:51.2,Within SLA,37:32.1,Ready to use Software,Tier 1,Germany,Request
Closed,1043,High,Email,Pricing and licensing,1st line support,Connor Danielovitch,05-01-2023 03:31,07-01-2023 03:31,05-01-2023 04:31,02:05.0,Within SLA,14:14.3,Within SLA,40:33.6,Custom software development,Tier 1,Italy,Request
Closed,1044,Low,Chat,Product setup,1st line support,Kristos Westoll,06-01-2023 20:45,07-01-2023 20:45,06-01-2023 20:47,47:41.3,Within SLA,07:32.8,Within SLA,39:58.9,Custom software development,Tier 1,Italy,Request
Resolved,1045,Medium,Email,Bug report,1st line support,Kristos Westoll,06-01-2023 20:14,08-01-2023 20:14,06-01-2023 21:14,58:29.8,Within SLA,15:33.4,Within SLA,,Ready to use Software,Tier 1,Slovenia,Incident
Resolved,1046,High,Email,Bug report,1st line support,Sheela Cutten,06-01-2023 15:11,08-01-2023 15:11,06-01-2023 16:11,35:55.1,Within SLA,22:47.5,Within SLA,,Custom software development,Tier 1,Poland,Incident
In progress,1047,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,06-01-2023 03:15,08-01-2023 03:15,06-01-2023 04:15,07:57.7,Within SLA,,SLA Violated,,Training and Consulting Services,Tier 1,Greece,Request
In progress,1048,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,06-01-2023 23:55,07-01-2023 23:55,06-01-2023 23:57,56:15.2,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Greece,Request
Closed,1049,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,06-01-2023 12:05,07-01-2023 12:05,06-01-2023 12:07,06:37.3,Within SLA,34:05.3,SLA Violated,40:58.2,Custom software development,Tier 1,Poland,Request
Closed,1050,Low,Email,Product setup,1st line support,Nicola Wane,07-01-2023 01:13,09-01-2023 01:13,07-01-2023 02:13,33:11.3,Within SLA,26:02.0,SLA Violated,42:18.5,Training and Consulting Services,Tier 1,Spain,Request
Closed,1054,High,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,07-01-2023 05:28,09-01-2023 05:28,07-01-2023 06:28,09:50.2,Within SLA,30:22.6,Within SLA,18:51.5,Custom software development,Tier 2,Italy,Request
Closed,1055,High,Email,Bug report,1st line support,Connor Danielovitch,07-01-2023 18:09,09-01-2023 18:09,07-01-2023 19:09,04:58.1,Within SLA,07:23.2,Within SLA,16:01.0,Ready to use Software,Tier 1,Republic of Ireland,Incident
Resolved,1056,Low,Email,Bug report,1st line support,Kristos Westoll,07-01-2023 00:13,09-01-2023 00:13,07-01-2023 01:13,19:13.6,Within SLA,56:19.5,Within SLA,,Custom software development,Tier 1,Germany,Incident
Closed,1057,Medium,Email,Feature request,1st line support,Bernard Beckley,07-01-2023 09:55,09-01-2023 09:55,07-01-2023 10:55,35:51.0,Within SLA,35:54.0,Within SLA,28:09.8,Ready to use Software,Tier 1,Germany,Change
In progress,1058,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,08-01-2023 13:39,10-01-2023 13:39,08-01-2023 14:39,36:27.2,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,France,Request
In progress,1062,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,08-01-2023 19:35,09-01-2023 19:35,08-01-2023 19:37,36:35.3,Within SLA,,SLA Violated,,Custom software development,Tier 1,Republic of Ireland,Request
Closed,1063,Low,Phone,Feature request,1st line support,Kristos Westoll,08-01-2023 04:56,10-01-2023 04:56,08-01-2023 04:58,01:41.5,SLA Violated,51:45.4,Within SLA,26:34.1,Ready to use Software,Tier 1,United Kingdom,Change
Closed,1064,High,Chat,Other,1st line support,Connor Danielovitch,08-01-2023 10:58,09-01-2023 10:58,08-01-2023 11:00,59:35.8,Within SLA,42:49.3,Within SLA,07:57.4,Ready to use Software,Tier 1,United Kingdom,Request
Closed,1065,Medium,Chat,Product setup,1st line support,Sheela Cutten,08-01-2023 01:00,09-01-2023 01:00,08-01-2023 01:02,01:24.9,Within SLA,07:23.6,Within SLA,51:41.3,Ready to use Software,Tier 1,United Kingdom,Request
Resolved,1066,Medium,Chat,Product setup,1st line support,Sheela Cutten,09-01-2023 14:16,10-01-2023 14:16,09-01-2023 14:18,17:22.4,Within SLA,21:28.9,Within SLA,,Ready to use Software,Tier 1,Spain,Request
Resolved,1067,Low,Email,Product setup,1st line support,Sheela Cutten,09-01-2023 15:09,11-01-2023 15:09,09-01-2023 16:09,37:18.5,Within SLA,02:32.5,Within SLA,,Custom software development,Tier 1,Germany,Request
Closed,1068,Low,Email,Product setup,1st line support,Kristos Westoll,09-01-2023 14:10,11-01-2023 14:10,09-01-2023 15:10,48:04.2,Within SLA,32:16.9,Within SLA,22:09.1,Ready to use Software,Tier 1,Greece,Request
Closed,1069,Medium,Email,Pricing and licensing,2nd line support,Heather Urry,09-01-2023 17:25,11-01-2023 17:25,09-01-2023 18:25,57:41.6,Within SLA,39:05.9,Within SLA,04:12.5,Custom software development,Tier 2,Poland,Request
Resolved,1070,High,Email,Pricing and licensing,2nd line support,Adolpho Messingham,09-01-2023 18:55,11-01-2023 18:55,09-01-2023 19:55,32:12.0,Within SLA,10:06.5,SLA Violated,,Custom software development,Tier 2,Germany,Request
Closed,1071,Medium,Email,Training request,2nd line support,Michele Whyatt,09-01-2023 11:56,11-01-2023 11:56,09-01-2023 12:56,16:08.2,Within SLA,04:07.3,Within SLA,45:03.5,Training and Consulting Services,Tier 2,Republic of Ireland,Request
Closed,1072,High,Email,Feature request,1st line support,Sheela Cutten,09-01-2023 20:14,11-01-2023 20:14,09-01-2023 21:14,29:39.0,Within SLA,44:54.1,Within SLA,24:18.7,Custom software development,Tier 1,Germany,Change
Closed,1073,Medium,Email,Pricing and licensing,1st line support,Kristos Westoll,09-01-2023 09:10,11-01-2023 09:10,09-01-2023 10:10,17:01.5,Within SLA,58:19.0,Within SLA,48:08.5,Ready to use Software,Tier 1,Greece,Request
Closed,1074,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,09-01-2023 06:50,10-01-2023 06:50,09-01-2023 06:52,54:53.8,SLA Violated,42:49.5,Within SLA,00:44.8,Ready to use Software,Tier 1,Slovenia,Request
Closed,1075,High,Email,Product setup,1st line support,Kristos Westoll,09-01-2023 21:50,11-01-2023 21:50,09-01-2023 22:50,25:12.1,SLA Violated,54:58.0,Within SLA,36:36.5,Ready to use Software,Tier 1,Czech Republic,Request
Closed,1076,Low,Phone,Product setup,1st line support,Bernard Beckley,09-01-2023 02:55,11-01-2023 02:55,09-01-2023 02:57,55:31.7,Within SLA,20:44.3,Within SLA,40:46.6,Ready to use Software,Tier 1,Germany,Request
Resolved,1077,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,10-01-2023 02:10,12-01-2023 02:10,10-01-2023 03:10,35:28.3,Within SLA,39:27.5,Within SLA,,Ready to use Software,Tier 1,Bulgaria,Request
Closed,1078,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,10-01-2023 13:46,12-01-2023 13:46,10-01-2023 14:46,50:11.6,Within SLA,52:28.5,Within SLA,36:05.3,Ready to use Software,Tier 1,Germany,Request
Resolved,1079,Low,Email,Product setup,1st line support,Kristos Westoll,10-01-2023 09:42,12-01-2023 09:42,10-01-2023 10:42,30:03.2,Within SLA,12:10.6,Within SLA,,Other,Tier 1,Germany,Request
Closed,1080,Low,Chat,Product setup,1st line support,Kristos Westoll,10-01-2023 03:17,11-01-2023 03:17,10-01-2023 03:19,17:37.3,Within SLA,22:15.9,Within SLA,32:23.7,Training and Consulting Services,Tier 1,Spain,Request
In progress,1081,Medium,Chat,Product setup,1st line support,Bernard Beckley,10-01-2023 04:29,11-01-2023 04:29,10-01-2023 04:31,29:36.4,Within SLA,,SLA Violated,,Custom software development,Tier 1,Austria,Request
Closed,1082,Low,Phone,Product setup,1st line support,Connor Danielovitch,10-01-2023 20:59,12-01-2023 20:59,10-01-2023 21:01,00:37.5,Within SLA,31:37.3,Within SLA,16:45.4,Custom software development,Tier 1,Poland,Request
Resolved,1083,Low,Phone,Pricing and licensing,1st line support,Sheela Cutten,10-01-2023 23:30,12-01-2023 23:30,10-01-2023 23:32,31:12.5,Within SLA,58:23.9,Within SLA,,Ready to use Software,Tier 1,Poland,Request
Resolved,1084,Medium,Email,Other,1st line support,Connor Danielovitch,10-01-2023 10:14,12-01-2023 10:14,10-01-2023 11:14,06:44.8,Within SLA,40:17.3,Within SLA,,Other,Tier 1,United Kingdom,Request
Closed,1085,High,Chat,Product setup,1st line support,Bernard Beckley,10-01-2023 07:30,11-01-2023 07:30,10-01-2023 07:32,31:47.8,Within SLA,50:31.4,Within SLA,35:29.9,Ready to use Software,Tier 1,Germany,Request
Resolved,1086,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,10-01-2023 17:16,12-01-2023 17:16,10-01-2023 18:16,44:04.7,Within SLA,22:02.8,Within SLA,,Ready to use Software,Tier 1,Germany,Request
Closed,1087,Low,Email,Feature request,2nd line support,Adolpho Messingham,11-01-2023 19:17,13-01-2023 19:17,11-01-2023 20:17,18:54.3,Within SLA,05:34.3,Within SLA,15:04.6,Ready to use Software,Tier 2,Italy,Change
Closed,1088,Low,Chat,Purchasing and invoicing,1st line support,Nicola Wane,11-01-2023 11:24,12-01-2023 11:24,11-01-2023 11:26,25:37.1,Within SLA,49:43.3,Within SLA,59:59.6,Training and Consulting Services,Tier 1,Spain,Request
Resolved,1090,Low,Chat,Feature request,1st line support,Bernard Beckley,11-01-2023 00:49,12-01-2023 00:49,11-01-2023 00:51,50:15.7,Within SLA,39:13.2,Within SLA,,Ready to use Software,Tier 1,Italy,Change
Resolved,1092,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,11-01-2023 12:31,12-01-2023 12:31,11-01-2023 12:33,31:53.2,Within SLA,24:21.0,Within SLA,,Custom software development,Tier 1,Germany,Request
Resolved,1093,Low,Email,Product setup,1st line support,Sheela Cutten,11-01-2023 13:45,13-01-2023 13:45,11-01-2023 14:45,12:45.3,Within SLA,00:02.1,Within SLA,,Custom software development,Tier 1,United Kingdom,Request
Resolved,1094,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,11-01-2023 04:04,12-01-2023 04:04,11-01-2023 04:06,05:35.5,Within SLA,03:32.4,Within SLA,,Ready to use Software,Tier 1,Czech Republic,Request
Closed,1095,Low,Chat,Feature request,1st line support,Kristos Westoll,11-01-2023 13:40,12-01-2023 13:40,11-01-2023 13:42,43:27.5,SLA Violated,43:28.7,SLA Violated,44:41.6,Custom software development,Tier 1,Czech Republic,Change
Closed,1097,Low,Email,Product setup,1st line support,Bernard Beckley,11-01-2023 05:29,13-01-2023 05:29,11-01-2023 06:29,04:13.8,Within SLA,24:42.2,Within SLA,48:08.0,Ready to use Software,Tier 1,Austria,Request
In progress,1098,Medium,Chat,Other,1st line support,Bernard Beckley,12-01-2023 12:18,13-01-2023 12:18,12-01-2023 12:20,19:18.6,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Poland,Request
Resolved,1100,Medium,Email,Feature request,2nd line support,Heather Urry,12-01-2023 22:40,14-01-2023 22:40,12-01-2023 23:40,47:08.6,Within SLA,58:22.7,Within SLA,,Custom software development,Tier 2,Italy,Change
Resolved,1101,High,Chat,Bug report,1st line support,Sheela Cutten,13-01-2023 15:00,14-01-2023 15:00,13-01-2023 15:02,00:36.4,Within SLA,58:00.3,Within SLA,,Ready to use Software,Tier 1,Austria,Incident
Resolved,1102,Low,Chat,Other,2nd line support,Michele Whyatt,13-01-2023 15:16,14-01-2023 15:16,13-01-2023 15:18,17:30.6,Within SLA,16:38.7,Within SLA,,Ready to use Software,Tier 2,Germany,Request
Resolved,1103,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,13-01-2023 12:58,14-01-2023 12:58,13-01-2023 13:00,59:39.6,Within SLA,19:55.4,Within SLA,,Ready to use Software,Tier 1,Bulgaria,Request
Closed,1104,Low,Email,Feature request,1st line support,Connor Danielovitch,13-01-2023 13:30,15-01-2023 13:30,13-01-2023 14:30,37:07.1,Within SLA,50:56.7,Within SLA,50:09.6,Other,Tier 1,Italy,Change
Closed,1105,Low,Chat,Feature request,1st line support,Kristos Westoll,13-01-2023 06:47,14-01-2023 06:47,13-01-2023 06:49,49:35.6,Within SLA,11:25.4,Within SLA,41:08.9,Other,Tier 1,Italy,Change
In progress,1106,Low,Chat,Other,1st line support,Connor Danielovitch,13-01-2023 23:18,14-01-2023 23:18,13-01-2023 23:20,20:43.8,Within SLA,,SLA Violated,,Custom software development,Tier 1,Germany,Request
Closed,1107,Low,Email,Bug report,2nd line support,Michele Whyatt,13-01-2023 11:19,15-01-2023 11:19,13-01-2023 12:19,34:07.8,Within SLA,05:24.5,Within SLA,12:25.4,Ready to use Software,Tier 2,Republic of Ireland,Incident
Closed,1108,Low,Email,Purchasing and invoicing,1st line support,Bernard Beckley,13-01-2023 02:10,15-01-2023 02:10,13-01-2023 03:10,28:05.3,SLA Violated,07:24.4,Within SLA,08:35.3,Ready to use Software,Tier 1,Czech Republic,Request
Closed,1109,High,Chat,Product setup,1st line support,Nicola Wane,13-01-2023 13:38,14-01-2023 13:38,13-01-2023 13:40,38:53.8,Within SLA,29:46.7,Within SLA,36:45.5,Training and Consulting Services,Tier 1,France,Request
Closed,1110,High,Email,Product setup,2nd line support,Adolpho Messingham,13-01-2023 21:32,15-01-2023 21:32,13-01-2023 22:32,27:03.3,Within SLA,06:02.2,Within SLA,07:27.6,Ready to use Software,Tier 2,United Kingdom,Request
In progress,1111,Low,Chat,Product setup,1st line support,Sheela Cutten,13-01-2023 02:49,14-01-2023 02:49,13-01-2023 02:51,52:28.0,SLA Violated,,SLA Violated,,Ready to use Software,Tier 1,Spain,Request
In progress,1112,Low,Phone,Pricing and licensing,1st line support,Bernard Beckley,13-01-2023 02:22,15-01-2023 02:22,13-01-2023 02:24,23:44.1,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Republic of Ireland,Request
Resolved,1113,Low,Chat,Product setup,1st line support,Bernard Beckley,13-01-2023 01:46,14-01-2023 01:46,13-01-2023 01:48,46:51.4,Within SLA,29:51.9,SLA Violated,,Custom software development,Tier 1,Germany,Request
Closed,1114,Medium,Email,Product setup,1st line support,Connor Danielovitch,13-01-2023 07:20,15-01-2023 07:20,13-01-2023 08:20,01:51.8,Within SLA,43:44.0,Within SLA,17:21.7,Other,Tier 1,Poland,Request
Resolved,1115,Low,Chat,Pricing and licensing,1st line support,Sheela Cutten,13-01-2023 23:22,14-01-2023 23:22,13-01-2023 23:24,22:16.1,Within SLA,14:59.3,Within SLA,,Ready to use Software,Tier 1,Germany,Request
Resolved,1116,Medium,Phone,Pricing and licensing,1st line support,Nicola Wane,14-01-2023 22:53,16-01-2023 22:53,14-01-2023 22:55,54:39.4,Within SLA,46:00.7,Within SLA,,Training and Consulting Services,Tier 1,United Kingdom,Request
Closed,1126,Medium,Phone,Pricing and licensing,1st line support,Kristos Westoll,15-01-2023 13:10,17-01-2023 13:10,15-01-2023 13:12,11:21.9,Within SLA,22:43.9,SLA Violated,15:17.6,Custom software development,Tier 1,United Kingdom,Request
Resolved,1127,High,Email,Product setup,1st line support,Bernard Beckley,15-01-2023 06:08,17-01-2023 06:08,15-01-2023 07:08,47:30.1,Within SLA,23:23.5,Within SLA,,Other,Tier 1,Czech Republic,Request
Closed,1128,Low,Email,Other,1st line support,Bernard Beckley,15-01-2023 10:11,17-01-2023 10:11,15-01-2023 11:11,03:47.8,Within SLA,11:51.2,Within SLA,31:09.4,Ready to use Software,Tier 1,Germany,Request
Closed,1129,High,Phone,Pricing and licensing,1st line support,Kristos Westoll,15-01-2023 02:01,17-01-2023 02:01,15-01-2023 02:03,02:21.2,Within SLA,49:44.7,Within SLA,30:05.8,Custom software development,Tier 1,Slovenia,Request
In progress,1130,Medium,Chat,Product setup,1st line support,Connor Danielovitch,16-01-2023 05:12,17-01-2023 05:12,16-01-2023 05:14,14:35.2,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Spain,Request
Closed,1131,Low,Email,Product setup,1st line support,Sheela Cutten,16-01-2023 20:38,18-01-2023 20:38,16-01-2023 21:38,35:38.9,Within SLA,40:38.7,Within SLA,35:10.4,Ready to use Software,Tier 1,Czech Republic,Request
Closed,1132,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,16-01-2023 15:44,18-01-2023 15:44,16-01-2023 16:44,39:29.4,Within SLA,05:13.4,Within SLA,45:34.0,Training and Consulting Services,Tier 1,Austria,Request
Resolved,1133,High,Chat,Product setup,1st line support,Bernard Beckley,16-01-2023 19:19,17-01-2023 19:19,16-01-2023 19:21,19:48.6,Within SLA,08:15.1,Within SLA,,Ready to use Software,Tier 1,Bulgaria,Request
Closed,1134,Low,Chat,Product setup,1st line support,Sheela Cutten,16-01-2023 12:50,17-01-2023 12:50,16-01-2023 12:52,51:00.2,Within SLA,37:43.5,Within SLA,38:43.2,Custom software development,Tier 1,Spain,Request
Resolved,1135,Low,Phone,Bug report,2nd line support,Adolpho Messingham,16-01-2023 14:37,18-01-2023 14:37,16-01-2023 14:39,40:46.7,SLA Violated,04:13.5,Within SLA,,Training and Consulting Services,Tier 2,Poland,Incident
Resolved,1136,Low,Email,Bug report,1st line support,Sheela Cutten,16-01-2023 15:35,18-01-2023 15:35,16-01-2023 16:35,08:01.7,Within SLA,41:21.8,Within SLA,,Ready to use Software,Tier 1,Germany,Incident
Resolved,1137,Low,Email,Feature request,1st line support,Kristos Westoll,16-01-2023 07:57,18-01-2023 07:57,16-01-2023 08:57,11:48.2,Within SLA,08:31.7,Within SLA,,Ready to use Software,Tier 1,Italy,Change
Resolved,1138,Low,Email,Product setup,2nd line support,Heather Urry,17-01-2023 01:30,19-01-2023 01:30,17-01-2023 02:30,53:20.1,SLA Violated,04:50.1,Within SLA,,Ready to use Software,Tier 2,Spain,Request
Closed,1139,Low,Chat,Feature request,1st line support,Nicola Wane,17-01-2023 11:23,18-01-2023 11:23,17-01-2023 11:25,27:11.2,SLA Violated,26:57.2,Within SLA,05:43.7,Custom software development,Tier 1,Italy,Change
Resolved,1140,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,17-01-2023 14:03,18-01-2023 14:03,17-01-2023 14:05,03:47.2,Within SLA,16:17.0,SLA Violated,,Training and Consulting Services,Tier 1,Greece,Request
Resolved,1141,Low,Chat,Other,1st line support,Nicola Wane,17-01-2023 00:04,18-01-2023 00:04,17-01-2023 00:06,04:29.2,Within SLA,24:11.2,SLA Violated,,Ready to use Software,Tier 1,Germany,Request
Closed,1142,Low,Email,Pricing and licensing,1st line support,Nicola Wane,17-01-2023 16:42,19-01-2023 16:42,17-01-2023 17:42,00:19.2,Within SLA,31:50.1,Within SLA,25:53.1,Ready to use Software,Tier 1,Greece,Request
Resolved,1143,Low,Email,Other,2nd line support,Adolpho Messingham,17-01-2023 23:31,19-01-2023 23:31,18-01-2023 00:31,19:55.0,Within SLA,20:43.1,Within SLA,,Training and Consulting Services,Tier 2,Republic of Ireland,Request
Closed,1144,Low,Email,Pricing and licensing,1st line support,Nicola Wane,17-01-2023 23:24,19-01-2023 23:24,18-01-2023 00:24,24:44.9,Within SLA,49:55.2,Within SLA,50:18.5,Ready to use Software,Tier 1,Republic of Ireland,Request
Resolved,1145,Medium,Email,Product setup,1st line support,Nicola Wane,17-01-2023 15:52,19-01-2023 15:52,17-01-2023 16:52,29:17.4,Within SLA,55:59.1,Within SLA,,Ready to use Software,Tier 1,France,Request
Closed,1146,Low,Email,Pricing and licensing,2nd line support,Adolpho Messingham,18-01-2023 02:02,20-01-2023 02:02,18-01-2023 03:02,41:38.0,Within SLA,13:39.4,Within SLA,16:40.9,Ready to use Software,Tier 2,Italy,Request
Closed,1147,Low,Email,Product setup,1st line support,Sheela Cutten,18-01-2023 10:59,20-01-2023 10:59,18-01-2023 11:59,43:11.4,SLA Violated,48:34.1,Within SLA,10:24.5,Custom software development,Tier 1,Germany,Request
Closed,1148,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,18-01-2023 08:59,20-01-2023 08:59,18-01-2023 09:59,18:42.8,Within SLA,42:49.5,Within SLA,37:03.5,Ready to use Software,Tier 1,Italy,Request
In progress,1149,Low,Phone,Feature request,1st line support,Sheela Cutten,18-01-2023 02:50,20-01-2023 02:50,18-01-2023 02:52,52:09.0,Within SLA,,SLA Violated,,Custom software development,Tier 1,Italy,Change
Closed,1150,Low,Email,Purchasing and invoicing,1st line support,Kristos Westoll,18-01-2023 03:19,20-01-2023 03:19,18-01-2023 04:19,37:53.1,Within SLA,11:34.8,Within SLA,52:10.4,Other,Tier 1,Slovenia,Request
Closed,1151,High,Chat,Product setup,1st line support,Nicola Wane,18-01-2023 06:48,19-01-2023 06:48,18-01-2023 06:50,50:21.6,Within SLA,03:40.9,Within SLA,03:47.6,Ready to use Software,Tier 1,United Kingdom,Request
Closed,1152,Medium,Phone,Pricing and licensing,2nd line support,Adolpho Messingham,18-01-2023 01:34,20-01-2023 01:34,18-01-2023 01:36,56:45.3,SLA Violated,22:04.7,Within SLA,40:20.7,Ready to use Software,Tier 2,Bulgaria,Request
Closed,1153,Medium,Chat,Purchasing and invoicing,2nd line support,Michele Whyatt,18-01-2023 02:18,19-01-2023 02:18,18-01-2023 02:20,20:37.8,Within SLA,48:35.4,Within SLA,17:08.4,Ready to use Software,Tier 2,Germany,Request
