Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude,Resolution_Duration,Response_Duration,Priority_Score,Performance_Bucket
Closed,1024,Medium,Chat,Other,1st line support,Bernard Beckley,2023-01-03 16:41:11,2023-01-04 16:41:11,2023-01-03 16:43:11,2023-01-03 16:43:40.942,SLA Violated,2023-01-03 23:52:18.292,Within SLA,2023-01-06 00:38:58.704,60.0,5.0,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126,7.1853588888888895,0.04165055555555556,2,Fast
Closed,1025,Low,Chat,Bug report,1st line support,Sheela Cutten,2023-01-03 04:50:04,2023-01-04 04:50:04,2023-01-03 04:52:04,2023-01-03 04:50:05.187,Within SLA,2023-01-07 13:17:12.368,SLA Violated,2023-01-09 05:37:59.166,3.0,3.0,Custom software development,Tier 1,Poland,52.536273,19.050639,104.45232444444444,0.00032972222222222224,1,Slow
Closed,1026,Low,Chat,Bug report,1st line support,Nicola Wane,2023-01-04 10:49:27,2023-01-05 10:49:27,2023-01-04 10:51:27,2023-01-04 10:50:41.566,Within SLA,2023-01-04 23:37:37.290,Within SLA,2023-01-05 12:53:53.016,2.0,4.0,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039,12.802858333333333,0.020712777777777778,1,Fast
Resolved,1027,Low,Chat,Training request,1st line support,Bernard Beckley,2023-01-04 07:27:56,2023-01-05 07:27:56,2023-01-04 07:29:56,2023-01-04 07:28:51.784,Within SLA,2023-01-05 04:41:40.506,Within SLA,,3.0,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973,21.229029444444443,0.015495555555555556,1,Average
Resolved,1028,Low,Chat,Bug report,1st line support,Kristos Westoll,2023-01-04 21:46:12,2023-01-05 21:46:12,2023-01-04 21:48:12,2023-01-04 21:46:51.236,Within SLA,2023-01-05 13:28:20.309,Within SLA,,2.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039,15.702308055555555,0.010898888888888889,1,Average
Closed,1029,Medium,Chat,Feature request,1st line support,Bernard Beckley,2023-01-04 09:12:41,2023-01-05 09:12:41,2023-01-04 09:14:41,2023-01-04 09:13:35.162,Within SLA,2023-01-05 07:45:18.346,Within SLA,2023-01-06 23:18:19.761,60.0,5.0,Custom software development,Tier 1,Germany,51.165691,10.451526,22.543707222222224,0.015045,2,Average
Closed,1030,Medium,Chat,Feature request,1st line support,Connor Danielovitch,2023-01-04 19:36:58,2023-01-05 19:36:58,2023-01-04 19:38:58,2023-01-04 19:37:55.723,Within SLA,2023-01-05 02:24:20.008,Within SLA,2023-01-11 06:16:49.063,5.0,4.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526,6.7894466666666675,0.016034166666666665,2,Fast
In progress,1031,Low,Email,Feature request,1st line support,Kristos Westoll,2023-01-04 18:08:24,2023-01-06 18:08:24,2023-01-04 19:08:24,2023-01-04 18:13:04.107,Within SLA,,SLA Violated,,4.0,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,,0.0778075,1,
Resolved,1032,Low,Email,Product setup,2nd line support,Heather Urry,2023-01-04 12:47:17,2023-01-06 12:47:17,2023-01-04 13:47:17,2023-01-04 13:20:44.142,Within SLA,2023-01-05 07:54:03.448,Within SLA,,2.0,,Other,Tier 2,Germany,51.165691,10.451526,19.112902222222225,0.5575394444444445,1,Average
In progress,1034,Low,Chat,Other,1st line support,Connor Danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:08:20,2023-01-04 19:07:35.320,Within SLA,,SLA Violated,,9.0,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526,,0.02092222222222222,1,
In progress,1035,High,Email,Training request,1st line support,Connor Danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:27:57,2023-01-04 06:07:00.171,Within SLA,,SLA Violated,,7.0,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526,,0.6508808333333332,3,
Resolved,1037,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 13:10:27,2023-01-05 12:34:20.255,Within SLA,2023-01-07 11:23:15.054,Within SLA,,1.0,,Custom software development,Tier 1,Poland,52.536273,19.050639,47.213348333333336,0.3981263888888889,1,Slow
Closed,1038,High,Chat,Other,1st line support,Bernard Beckley,2023-01-05 04:18:55,2023-01-06 04:18:55,2023-01-05 04:20:55,2023-01-05 04:19:42.046,Within SLA,2023-01-05 19:22:17.161,Within SLA,2023-01-12 18:08:53.602,3.0,3.0,Other,Tier 1,Italy,43.036776,12.678565,15.056155833333333,0.013068333333333333,3,Average
Resolved,1039,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:19,2023-01-05 05:18:00.531,Within SLA,2023-01-05 07:37:10.835,Within SLA,,3.0,,Custom software development,Tier 2,Poland,52.536273,19.050639,2.347731944444444,0.028203055555555558,2,Fast
In progress,1040,High,Chat,Bug report,2nd line support,Heather Urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:32:37,2023-01-05 14:31:02.365,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 2,Poland,52.536273,19.050639,,0.007045833333333333,3,
Closed,1041,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-01-05 02:59:54,2023-01-06 02:59:54,2023-01-05 03:01:54,2023-01-05 03:04:27.475,SLA Violated,2023-01-05 21:50:51.227,Within SLA,2023-01-06 11:37:32.085,8.0,2.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526,18.849229722222223,0.07596527777777778,1,Average
Closed,1043,High,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-01-05 03:31:45,2023-01-07 03:31:45,2023-01-05 04:31:45,2023-01-05 04:02:04.982,Within SLA,2023-01-06 17:14:14.261,Within SLA,2023-01-09 18:40:33.584,3.0,5.0,Custom software development,Tier 1,Italy,43.036776,12.678565,37.708128055555555,0.5055505555555555,3,Slow
Closed,1044,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-01-06 20:45:42,2023-01-07 20:45:42,2023-01-06 20:47:42,2023-01-06 20:47:41.330,Within SLA,2023-01-07 00:07:32.803,Within SLA,2023-01-13 23:39:58.864,3.0,2.0,Custom software development,Tier 1,Italy,43.036776,12.678565,3.3641119444444443,0.033147222222222224,1,Fast
Resolved,1045,Medium,Email,Bug report,1st line support,Kristos Westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 21:14:59,2023-01-06 20:58:29.786,Within SLA,2023-01-08 07:15:33.362,Within SLA,,4.0,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106,35.009544999999996,0.7252183333333333,2,Slow
Resolved,1046,High,Email,Bug report,1st line support,Sheela Cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 16:11:41,2023-01-06 15:35:55.110,Within SLA,2023-01-07 06:22:47.483,Within SLA,,1.0,,Custom software development,Tier 1,Poland,52.536273,19.050639,15.185134166666666,0.40391944444444444,3,Average
In progress,1047,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:15:21,2023-01-06 04:07:57.717,Within SLA,,SLA Violated,,1.0,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141,,0.8768658333333333,1,
In progress,1048,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:57:57,2023-01-06 23:56:15.157,Within SLA,,SLA Violated,,8.0,,Ready to use Software,Tier 1,Greece,39.368279,21.863141,,0.005043611111111111,1,
Closed,1049,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-01-06 12:05:00,2023-01-07 12:05:00,2023-01-06 12:07:00,2023-01-06 12:06:37.265,Within SLA,2023-01-11 05:34:05.275,SLA Violated,2023-01-11 20:40:58.211,3.0,4.0,Custom software development,Tier 1,Poland,52.536273,19.050639,113.48479861111112,0.027018055555555556,2,Slow
Closed,1050,Low,Email,Product setup,1st line support,Nicola Wane,2023-01-07 01:13:52,2023-01-09 01:13:52,2023-01-07 02:13:52,2023-01-07 01:33:11.308,Within SLA,2023-01-12 02:26:01.957,SLA Violated,2023-01-14 00:42:18.528,6.0,4.0,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726,121.20276583333333,0.32203,1,Slow
Closed,1054,High,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-01-07 05:28:54,2023-01-09 05:28:54,2023-01-07 06:28:54,2023-01-07 06:09:50.229,Within SLA,2023-01-08 08:30:22.633,Within SLA,2023-01-14 16:18:51.456,2.0,5.0,Custom software development,Tier 2,Italy,43.036776,12.678565,27.024620277777778,0.6822858333333333,3,Average
Closed,1055,High,Email,Bug report,1st line support,Connor Danielovitch,2023-01-07 18:09:17,2023-01-09 18:09:17,2023-01-07 19:09:17,2023-01-07 19:04:58.137,Within SLA,2023-01-09 13:07:23.232,Within SLA,2023-01-12 22:16:01.046,8.0,4.0,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675,42.968397777777774,0.9280936111111111,3,Slow
Resolved,1056,Low,Email,Bug report,1st line support,Kristos Westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 01:13:20,2023-01-07 00:19:13.578,Within SLA,2023-01-08 13:56:19.524,Within SLA,,8.0,,Custom software development,Tier 1,Germany,51.165691,10.451526,37.71653444444445,0.0982161111111111,1,Slow
Closed,1057,Medium,Email,Feature request,1st line support,Bernard Beckley,2023-01-07 09:55:14,2023-01-09 09:55:14,2023-01-07 10:55:14,2023-01-07 10:35:51.009,Within SLA,2023-01-09 01:35:54.021,Within SLA,2023-01-09 09:28:09.839,7.0,5.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526,39.67778361111111,0.6769469444444445,2,Slow
In progress,1058,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:39:52,2023-01-08 14:36:27.207,Within SLA,,SLA Violated,,10.0,,Ready to use Software,Tier 1,France,48.864716,2.349014,,0.9431130555555555,2,
In progress,1062,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:37:27,2023-01-08 19:36:35.285,Within SLA,,SLA Violated,,60.0,,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675,,0.018968055555555554,1,
Closed,1063,Low,Phone,Feature request,1st line support,Kristos Westoll,2023-01-08 04:56:45,2023-01-10 04:56:45,2023-01-08 04:58:45,2023-01-08 05:01:41.476,SLA Violated,2023-01-08 08:51:45.370,Within SLA,2023-01-12 04:26:34.100,2.0,1.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,3.9167694444444447,0.08235444444444444,1,Fast
Closed,1064,High,Chat,Other,1st line support,Connor Danielovitch,2023-01-08 10:58:22,2023-01-09 10:58:22,2023-01-08 11:00:22,2023-01-08 10:59:35.789,Within SLA,2023-01-08 17:42:49.306,Within SLA,2023-01-10 20:07:57.409,5.0,5.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,6.740918333333333,0.020496944444444446,3,Fast
Closed,1065,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-08 01:00:01,2023-01-09 01:00:01,2023-01-08 01:02:01,2023-01-08 01:01:24.891,Within SLA,2023-01-08 04:07:23.580,Within SLA,2023-01-10 14:51:41.345,3.0,3.0,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973,3.1229388888888887,0.023303055555555556,2,Fast
Resolved,1066,Medium,Chat,Product setup,1st line support,Sheela Cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:18:59,2023-01-09 14:17:22.391,Within SLA,2023-01-10 06:21:28.868,Within SLA,,6.0,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726,16.074963333333333,0.0064975,2,Average
Resolved,1067,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 16:09:10,2023-01-09 15:37:18.542,Within SLA,2023-01-11 01:02:32.459,Within SLA,,3.0,,Custom software development,Tier 1,Germany,51.165691,10.451526,33.88957194444445,0.4690394444444444,1,Average
Closed,1068,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-09 14:10:12,2023-01-11 14:10:12,2023-01-09 15:10:12,2023-01-09 14:48:04.246,Within SLA,2023-01-10 19:32:16.928,Within SLA,2023-01-10 23:22:09.144,3.0,1.0,Ready to use Software,Tier 1,Greece,39.368279,21.863141,29.368035555555554,0.6311794444444445,1,Average
Closed,1069,Medium,Email,Pricing and licensing,2nd line support,Heather Urry,2023-01-09 17:25:30,2023-01-11 17:25:30,2023-01-09 18:25:30,2023-01-09 17:57:41.562,Within SLA,2023-01-10 12:39:05.914,Within SLA,2023-01-15 09:04:12.484,2.0,5.0,Custom software development,Tier 2,Poland,52.536273,19.050639,19.22664277777778,0.5365449999999999,2,Average
Resolved,1070,High,Email,Pricing and licensing,2nd line support,Adolpho Messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:55:21,2023-01-09 19:32:12.017,Within SLA,2023-01-15 17:10:06.485,SLA Violated,,1.0,,Custom software development,Tier 2,Germany,51.165691,10.451526,142.24596805555555,0.6141713888888889,3,Slow
Closed,1071,Medium,Email,Training request,2nd line support,Michele Whyatt,2023-01-09 11:56:11,2023-01-11 11:56:11,2023-01-09 12:56:11,2023-01-09 12:16:08.154,Within SLA,2023-01-10 16:04:07.277,Within SLA,2023-01-12 10:45:03.468,1.0,4.0,Training and Consulting Services,Tier 2,Republic of Ireland,53.094024,-8.019675,28.132299166666666,0.3325427777777778,2,Average
Closed,1072,High,Email,Feature request,1st line support,Sheela Cutten,2023-01-09 20:14:31,2023-01-11 20:14:31,2023-01-09 21:14:31,2023-01-09 20:29:39.010,Within SLA,2023-01-09 20:44:54.124,Within SLA,2023-01-12 00:24:18.715,1.0,5.0,Custom software development,Tier 1,Germany,51.165691,10.451526,0.5064233333333333,0.252225,3,Fast
Closed,1073,Medium,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-01-09 09:10:39,2023-01-11 09:10:39,2023-01-09 10:10:39,2023-01-09 09:17:01.493,Within SLA,2023-01-09 21:58:19.008,Within SLA,2023-01-11 01:48:08.451,7.0,3.0,Ready to use Software,Tier 1,Greece,39.368279,21.863141,12.794446666666667,0.10624805555555555,2,Fast
Closed,1074,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-01-09 06:50:00,2023-01-10 06:50:00,2023-01-09 06:52:00,2023-01-09 06:54:53.804,SLA Violated,2023-01-09 22:42:49.505,Within SLA,2023-01-13 01:00:44.792,3.0,4.0,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106,15.880418055555555,0.08161222222222221,1,Average
Closed,1075,High,Email,Product setup,1st line support,Kristos Westoll,2023-01-09 21:50:02,2023-01-11 21:50:02,2023-01-09 22:50:02,2023-01-10 00:25:12.140,SLA Violated,2023-01-11 09:54:57.984,Within SLA,2023-01-16 14:36:36.530,5.0,2.0,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126,36.08221777777778,2.58615,3,Slow
Closed,1076,Low,Phone,Product setup,1st line support,Bernard Beckley,2023-01-09 02:55:23,2023-01-11 02:55:23,2023-01-09 02:57:23,2023-01-09 02:55:31.714,Within SLA,2023-01-10 22:20:44.266,Within SLA,2023-01-12 19:40:46.559,3.0,5.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526,43.42257388888889,0.0024205555555555556,1,Slow
Resolved,1077,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 02:10:01,2023-01-12 02:10:01,2023-01-10 03:10:01,2023-01-10 02:35:28.295,Within SLA,2023-01-11 21:39:27.481,Within SLA,,2.0,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039,43.49068916666667,0.4242486111111111,1,Slow
Closed,1078,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 13:46:53,2023-01-12 13:46:53,2023-01-10 14:46:53,2023-01-10 13:50:11.579,Within SLA,2023-01-12 06:52:28.486,Within SLA,2023-01-16 01:36:05.298,7.0,2.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526,41.09319055555556,0.05516083333333333,1,Slow
Resolved,1079,Low,Email,Product setup,1st line support,Kristos Westoll,2023-01-10 09:42:12,2023-01-12 09:42:12,2023-01-10 10:42:12,2023-01-10 10:30:03.208,Within SLA,2023-01-12 01:12:10.641,Within SLA,,2.0,,Other,Tier 1,Germany,51.165691,10.451526,39.4996225,0.7975577777777778,1,Slow
Closed,1080,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-01-10 03:17:26,2023-01-11 03:17:26,2023-01-10 03:19:26,2023-01-10 03:17:37.264,Within SLA,2023-01-10 13:22:15.933,Within SLA,2023-01-11 12:32:23.705,3.0,3.0,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726,10.080536944444443,0.0031288888888888885,1,Fast
In progress,1081,Medium,Chat,Product setup,1st line support,Bernard Beckley,2023-01-10 04:29:04,2023-01-11 04:29:04,2023-01-10 04:31:04,2023-01-10 04:29:36.431,Within SLA,,SLA Violated,,3.0,,Custom software development,Tier 1,Austria,47.6964719,13.3457347,,0.00900861111111111,2,
Closed,1082,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-01-10 20:59:34,2023-01-12 20:59:34,2023-01-10 21:01:34,2023-01-10 21:00:37.516,Within SLA,2023-01-12 17:31:37.329,Within SLA,2023-01-12 14:16:45.427,5.0,5.0,Custom software development,Tier 1,Poland,52.536273,19.050639,44.534258055555554,0.017643333333333334,1,Slow
Resolved,1083,Low,Phone,Pricing and licensing,1st line support,Sheela Cutten,2023-01-10 23:30:30,2023-01-12 23:30:30,2023-01-10 23:32:30,2023-01-10 23:31:12.529,Within SLA,2023-01-12 00:58:23.880,Within SLA,,1.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639,25.46496666666667,0.011813611111111112,1,Average
Resolved,1084,Medium,Email,Other,1st line support,Connor Danielovitch,2023-01-10 10:14:54,2023-01-12 10:14:54,2023-01-10 11:14:54,2023-01-10 11:06:44.788,Within SLA,2023-01-11 20:40:17.303,Within SLA,,7.0,,Other,Tier 1,United Kingdom,55.378052,-3.435973,34.423139722222224,0.8641077777777778,2,Average
Closed,1085,High,Chat,Product setup,1st line support,Bernard Beckley,2023-01-10 07:30:22,2023-01-11 07:30:22,2023-01-10 07:32:22,2023-01-10 07:31:47.767,Within SLA,2023-01-10 10:50:31.437,Within SLA,2023-01-14 06:35:29.874,4.0,5.0,Ready to use Software,Tier 1,Germany,51.165691,10.451526,3.335954722222222,0.023824166666666667,3,Fast
Resolved,1086,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-10 17:16:11,2023-01-12 17:16:11,2023-01-10 18:16:11,2023-01-10 17:44:04.661,Within SLA,2023-01-12 07:22:02.841,Within SLA,,10.0,,Ready to use Software,Tier 1,Germany,51.165691,10.451526,38.09773361111111,0.46490583333333335,2,Slow
Closed,1087,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-01-11 19:17:35,2023-01-13 19:17:35,2023-01-11 20:17:35,2023-01-11 19:18:54.285,Within SLA,2023-01-11 20:05:34.343,Within SLA,2023-01-15 01:15:04.648,8.0,5.0,Ready to use Software,Tier 2,Italy,43.036776,12.678565,0.7998175,0.022023611111111112,1,Fast
Closed,1088,Low,Chat,Purchasing and invoicing,1st line support,Nicola Wane,2023-01-11 11:24:14,2023-01-12 11:24:14,2023-01-11 11:26:14,2023-01-11 11:25:37.140,Within SLA,2023-01-11 20:49:43.338,Within SLA,2023-01-13 04:59:59.615,8.0,4.0,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726,9.424816111111111,0.023094444444444445,1,Fast
Resolved,1090,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-01-11 00:49:24,2023-01-12 00:49:24,2023-01-11 00:51:24,2023-01-11 00:50:15.651,Within SLA,2023-01-11 14:39:13.211,Within SLA,,4.0,,Ready to use Software,Tier 1,Italy,43.036776,12.678565,13.83033638888889,0.014347500000000001,1,Fast
Resolved,1092,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-01-11 12:31:52,2023-01-12 12:31:52,2023-01-11 12:33:52,2023-01-11 12:31:53.202,Within SLA,2023-01-12 12:24:20.970,Within SLA,,3.0,,Custom software development,Tier 1,Germany,51.165691,10.451526,23.874713888888888,0.0003338888888888889,2,Average
Resolved,1093,Low,Email,Product setup,1st line support,Sheela Cutten,2023-01-11 13:45:35,2023-01-13 13:45:35,2023-01-11 14:45:35,2023-01-11 14:12:45.316,Within SLA,2023-01-12 00:00:02.086,Within SLA,,8.0,,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973,10.240857222222223,0.4528655555555556,1,Fast
Resolved,1094,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-01-11 04:04:47,2023-01-12 04:04:47,2023-01-11 04:06:47,2023-01-11 04:05:35.487,Within SLA,2023-01-11 19:03:32.390,Within SLA,,6.0,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126,14.979275,0.013468611111111112,1,Average
Closed,1095,Low,Chat,Feature request,1st line support,Kristos Westoll,2023-01-11 13:40:47,2023-01-12 13:40:47,2023-01-11 13:42:47,2023-01-11 13:43:27.490,SLA Violated,2023-01-16 11:43:28.653,SLA Violated,2023-01-18 10:44:41.595,3.0,1.0,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126,118.04490361111111,0.04458055555555556,1,Slow
Closed,1097,Low,Email,Product setup,1st line support,Bernard Beckley,2023-01-11 05:29:41,2023-01-13 05:29:41,2023-01-11 06:29:41,2023-01-11 06:04:13.834,Within SLA,2023-01-11 17:24:42.166,Within SLA,2023-01-16 15:48:07.957,1.0,1.0,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347,11.916990555555556,0.5757872222222222,1,Fast
In progress,1098,Medium,Chat,Other,1st line support,Bernard Beckley,2023-01-12 12:18:45,2023-01-13 12:18:45,2023-01-12 12:20:45,2023-01-12 12:19:18.598,Within SLA,,SLA Violated,,6.0,,Ready to use Software,Tier 1,Poland,52.536273,19.050639,,0.009332777777777777,2,
Resolved,1100,Medium,Email,Feature request,2nd line support,Heather Urry,2023-01-12 22:40:11,2023-01-14 22:40:11,2023-01-12 23:40:11,2023-01-12 22:47:08.587,Within SLA,2023-01-13 13:58:22.732,Within SLA,,7.0,,Custom software development,Tier 2,Italy,43.036776,12.678565,15.30325888888889,0.11599638888888888,2,Average
Resolved,1101,High,Chat,Bug report,1st line support,Sheela Cutten,2023-01-13 15:00:14,2023-01-14 15:00:14,2023-01-13 15:02:14,2023-01-13 15:00:36.375,Within SLA,2023-01-14 02:58:00.277,Within SLA,,60.0,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347,11.962854722222223,0.006215277777777778,3,Fast
Resolved,1102,Low,Chat,Other,2nd line support,Michele Whyatt,2023-01-13 15:16:58,2023-01-14 15:16:58,2023-01-13 15:18:58,2023-01-13 15:17:30.575,Within SLA,2023-01-13 21:16:38.693,Within SLA,,5.0,,Ready to use Software,Tier 2,Germany,51.165691,10.451526,5.994636944444444,0.009048611111111111,1,Fast
